mrna_length,fA,fU,fG,fC,au_content,gc_content,di_AA,di_AU,di_AG,di_AC,di_UA,di_UU,di_UG,di_UC,di_GA,di_GU,di_GG,di_GC,di_CA,di_CU,di_CG,di_CC,utr5_length,utr3_length,cds_length,utr5_fraction,utr3_fraction,cds_fraction,utr3_au_content,rrach_count,rrach_per_kb,aaach_count,aaach_per_kb,mfe,mfe_per_nt,frac_paired,n_stemloops,n_stemloops_per_kb,long_3utr,ptc_proxy,rmsf_mean,rmsf_std,rmsf_max,rmsf_nterm50,rmsf_cterm50,rg_mean,rg_std,rg_cv,contact_density,packing_density,sasa_per_residue,pass_rate,n_residues,idr_percent,mean_disorder,max_disorder_window,n_idr_regions,longest_idr_region,has_bioemu
0.17681240286212416,0.015885056254919618,0.09154630407923832,-0.055439579992962534,0.05253643919364549,0.004147233475814574,-0.018959746616892516,-0.010530732973711565,-0.025332690053619444,-0.04088644261355512,0.022981918909354134,0.07396170877036638,0.00796078126935754,-0.2594945014559198,0.043606294378405436,0.029719114444451408,-0.006831670381943695,0.029057541280053556,0.016596505324705503,-0.15612338477105367,0.08227674346417188,-0.3931416123200324,0.015488568452419714,0.03255370364058763,0.07464904776774346,0.10276329888380133,0.05029742160695605,-0.005557746947160922,0.03927372058620676,0.16023067996837198,0.036402775302994995,-0.0023577641136944293,-0.008433700013702037,0.005232124691829086,0.13314143906347453,0.012684755057562143,0.15490547356544992,-0.018994983027223498,-0.08205392212956213,0.0,0.0,-0.008017241007182747,0.059798154361196794,-0.04827458541374654,0.035013551012380045,0.05111435334780254,-0.055491378786973654,0.005710269599221647,-0.010608708304353058,0.17221451826626435,-0.1371373302245047,0.04957875475636683,0.012472315605264158,0.07210065030492842,-0.008168959274189546,-0.04674601547420025,-0.04522877844050527,-0.024044900410808624,0.0031955144822131843,0.0
-0.16864641011925413,0.0005049505410715938,0.07712555570644326,0.07688636291306467,-0.04726468915119767,0.028414201970444992,0.0109455767768668,-0.020714020658051596,-0.024022540006553753,0.049598387121222914,-0.007893065842217765,0.02055519668443594,0.08356285785092041,-0.055286069347057494,-0.004954841346479952,-0.03507694734027609,-0.22234584617195652,-0.07817385355359875,0.05886953056091443,0.0025856154540088027,-0.010708411690429784,0.19121903618448413,0.02229780573048629,-0.09672396643145476,0.02697709466679953,0.1000780399213545,-0.10727973541303072,-0.00966228601639159,-0.021314350440516137,-0.1030011261627078,-0.019499533287016674,-0.011318482998758555,-0.018437067931517958,0.01664993011916522,-0.011290572683792561,0.011952648432925343,-0.03791100462898612,0.005864191683940589,-0.03127135448274203,0.0,0.0,0.0002538289502263069,0.03882816281053238,-0.039770453616511076,-0.08704131916631014,-0.09137903997791,-0.06764929468976334,-0.007502675740979612,-0.021334870394784957,-0.03152985470718704,0.15297357531497255,0.0019749520742334426,0.01659940217854455,0.0667778607015498,-0.005299939189571887,-0.044391081368085,-0.05159556141588837,-0.0019246884505264461,-0.003341556012164801,0.0
-0.08235885885776952,-0.019639230887405573,0.029113126528682188,-0.08040870143915527,-0.03730934377294034,-0.02675459541962482,-0.006505715055391192,-0.053271858791122215,-0.037357730148360135,-0.05977112247783225,0.026406515284907072,-0.2871398195734946,-0.006027260006521829,-0.17866631455835885,-0.022791790674673393,0.025404507004423066,0.04258405036409386,0.02598845150321722,-0.045514841648400764,-0.0011387677886523307,-0.08407308389781974,-0.2519235901534557,0.019013644815422594,-0.06839848491421435,0.048387929387390616,-0.14040684435283765,-0.028739001727662982,0.0010179740062449128,-0.06570258018095046,0.1436251316871494,0.08497880983864889,-0.00022780656348913908,0.009620693298056721,-0.02176847124181222,-0.02039499339880422,-0.008217799325939268,0.0562970816984307,0.00860470897052437,0.05323328446480446,0.0,0.0,0.01798545679077506,-0.08325567050371319,-0.04447093741269782,0.06769195030297852,0.03708226854447275,0.03275934624485671,0.016423803239595147,0.02861625447170809,-0.0010880535194883122,-0.17181388984288787,-0.0058795742236543444,-0.036920902415877206,-0.1346891284780577,0.06742394637083635,0.03972622574539855,-0.01549914899514988,0.010643198372563348,-0.016599465277977288,0.0
-0.08427461613609921,-0.00019904209300875664,0.0540849919768516,-0.010917198363458738,0.02159890522132628,0.017243234233465046,0.00027356181759387256,-0.0035410291189327836,0.0002767280279658735,0.032435721148503946,0.009847933282144368,0.07729623034654651,0.025548666800605132,-0.22162475970340892,-0.0015501831867732107,0.03392935438081622,-0.2251637881231727,0.020748165112454444,0.06540881241671741,0.022792480846401304,0.01952300962409936,-0.30996990559622645,-0.0015492699155583978,0.023530217500519937,0.014008233444765211,0.029291531492490322,0.03523236465640366,0.03170230001793243,0.031974654102232304,0.19794872941049108,-0.22859474029159174,-0.008772742251167073,-0.023305337852798404,-0.0034150669351220133,-0.05565202294383198,0.007082888258155435,-0.0610901293810457,0.014938470581546426,-0.18061504439334386,0.0,0.0,-0.014023783189477399,0.09423676204402,0.043001685861963776,0.005614687865017913,-0.21417495631845668,-0.004546270377468318,0.009391124153044075,-0.028838797784410418,-0.021475470258155837,0.14689994484535418,-0.04765197124856058,-0.04138621768215671,-0.0012864737003110349,-0.0035423244221601635,-0.028405245651956647,0.12490768555086106,-0.0013068363117054104,-0.013422901582671329,0.0
0.11599956101970747,0.014773424882441759,0.07841966798878275,0.0006776328885462136,0.05599850758910179,0.0013579043792560697,-0.03218236277520191,0.01643304858589545,-0.028643654426559806,0.03794904557114933,0.008591770543716848,0.05703832447412424,-0.012515951895620674,0.05214902950741816,-0.027420848582405597,0.03817495621391572,0.05783996746176854,0.02686822668911191,0.03295847270463128,0.09175374144164379,0.028021183918463068,0.11967458089697175,0.007568033743300475,0.05206395628512837,0.05951821694150567,0.09888944750302471,0.053369018766097724,-0.011790393110713922,0.02660378967411816,0.07231287240516394,0.2094346545729786,0.02289626980898902,0.014046238944865763,-0.016842731439974157,0.084604289814597,-0.012587506851996295,-0.01862722895340994,-0.0025026675034314394,0.07024969284422695,0.0,0.0,0.009199464463163167,-0.045630032113695054,-0.016901420003268868,0.05256781259784475,0.018117588302120565,-0.039590064520016316,-0.025182910212897695,0.0017734356829896569,0.1356369716351037,-0.2128193472221028,-0.01797148278914392,-0.011728387057664803,0.05832706384127959,0.025202123203780503,0.048772544449893755,-0.04767473692540079,0.0077696248376742,-0.01058487271075137,0.0
-0.18071868859115056,-0.014257059399969876,-0.108713384201983,-0.03528555056545883,-0.02822220778558403,-0.01741424684296362,0.020025421624886804,0.023245795043185354,0.03298064922099002,0.017814817730686626,0.025159299069782717,-0.30195096527168064,-0.044309477935312314,-0.07683445993927307,-0.024006308973766863,0.013155656093731522,-0.09395294740446843,-0.001230455880286172,-0.05964081985293888,0.030436234969529324,0.05961765671381727,-0.0072422849398572,-0.007223768965341151,0.06555514514097012,0.043503146214061414,-0.1733461027406156,0.07462811811361462,0.030157599907834082,-0.03294870880781673,0.14539473387529142,-0.09014851585146971,0.00897865996870678,0.004879038478247821,-0.002538012802833691,-0.0927445957029704,-0.015349579293397255,-0.015055737477960065,0.0037294345663394777,0.009830749931861647,0.0,0.0,0.11078622711007484,-0.067551544503076,-0.03959861694369465,0.21713772947026883,0.14496332243201324,0.05672680698335171,0.04775260935188271,0.0460727161471732,-0.035896723160985855,0.21347433369199278,0.0031562781264074147,-0.0071961526584345846,-0.04021641800412908,0.04301132695545675,0.0974276360590011,-0.025504049307201057,0.02388716631103307,0.006341968437191099,0.0
-0.09142898634425364,0.01575700602028519,0.06937847511610017,-0.010972753767855465,0.02132121362024918,0.0033855588838923724,-0.024524528761394323,0.004892866893787868,0.015404976202407852,0.025052646109834313,-0.012350116635207086,0.12459968299546745,0.11430446598678827,-0.25712943911727054,0.008188235512934626,0.014126699754269794,-0.153007724104682,-0.001549240597523749,0.023799500471213833,0.1883398568176199,0.045051654691342265,0.1159500776938512,-0.005720960297621786,-0.027657277022954077,-0.10592550341389143,0.07827537655830383,-0.01261514429235831,-0.014141321096103639,-0.04170728249242529,0.23082685242407025,0.04734996871091426,0.028770419547799974,-0.015080504398792983,0.013525709009263665,-0.06129985182546079,0.021048251637257636,0.10375805722200311,-0.006816429076716304,-0.08566474823513999,0.0,0.0,-0.00861203738837503,-0.019575607638107614,-0.030286149096209556,-0.009040755664464085,0.06585809459676967,0.003203204716555774,-0.009477615047944709,0.009416660103015602,0.027006405359716153,-0.1488005352613982,0.04523050568881445,0.00565559484064579,0.03896136931143701,-0.004264624045463279,-0.02534051436930895,-0.05513213917263784,-0.00813811035710387,-0.010340541822370142,0.0
0.18556695064762607,-0.01612941940082237,-0.1504337784834206,-0.022582187617663296,-0.02144882403546944,0.012284992376808078,0.0035516320052556695,-0.01437471348559484,0.016182520189322532,-0.15259191165619995,0.007883728720480576,-0.4013568216940621,-0.030465405876748265,0.014099464562023059,-0.051293287643929944,0.00011488979100249708,0.014035324237775058,0.004880951105151326,0.03186608172254637,0.007793985044700093,0.0221255566412583,0.13179159752035047,-0.0074026026693172755,-0.0436357129458338,0.06444073833758011,0.08904135839547962,-0.07678673590184189,-0.029753003933001308,-0.003365082421223633,0.06441673173452728,0.16037238652235827,0.02620056549087167,0.016390486407326533,0.004064444038667716,0.14098720541747753,0.009917680490761995,-0.07133914937265218,-0.015127321898471564,0.019617839911952616,0.0,0.0,0.0058393241558223966,0.03184714434784837,0.031872432874515653,-0.06551674236892722,0.031141153960488735,-0.06040741603239439,-0.039398875531041995,-0.0025161101669073107,-0.00772730591474101,-0.10055175812565721,-0.041420911772875116,0.0033908201596932488,0.06802512382855638,-0.013588011141400784,0.04899488468421623,-0.01668684805277735,0.002646237008739263,-0.009810760064283386,0.0
-0.1812280971254222,-0.03841428939020261,-0.14055831097444751,0.021897901779739187,-0.006809804345248267,0.011500400227960198,0.039284027989488095,-0.024072501877089963,-0.05955808992672246,-0.07560911402106285,0.009516451390227302,0.01272772550873924,-0.0668407374783419,-0.12901084821671246,0.02589314573444426,0.03367209340678528,-0.14471477303188293,0.013326238446170464,0.02652878874563612,-0.09477556188357994,0.0506774442770984,-0.2913970799185336,-0.006426179111003876,-0.010166606053244322,0.05269373611896299,-0.22201288324431517,0.0340477593918331,0.03758965034387075,0.019061783633660526,0.12759842189145273,-0.25948831375921144,-0.0395005961402785,0.003337839714367874,0.01929053864441812,-0.17872755048098043,0.0010438223642995582,0.001205556526547298,0.009231570423580707,-0.05712024271604605,0.0,0.0,-0.027692400332307444,-0.10590555683826096,-0.10545310913352296,-0.10939366387668997,0.17277280365291517,-0.058233021134510635,-0.024676012254785745,-0.021872575487941505,-0.0191473502520239,-0.26162555352319034,-0.07461823288700543,-0.02979647131636739,-0.18333049409557134,0.0002711422636639327,-0.03097849975223653,-0.01969914490589872,0.002049386566504836,-0.0077982138516381385,0.0
-0.10840931750368327,-0.001811686020810157,-0.21499626686563716,-0.07491781914723106,-0.02711018058937043,-0.0262244918232318,0.010601218149531633,-0.0172922331711743,0.0278034748416394,-0.02446349217905663,-0.0032894148980267346,-0.28242907051113436,-0.08412774572439957,-0.1989956105314195,0.008586749461246655,-0.0339002182148397,-0.202806281989906,0.03317957630613819,-0.0026862973952665927,-0.04539444583235309,0.007574780975119211,0.1178591378906276,-0.006821465366519988,-0.04989157174364664,0.05849673742312007,-0.044864789929706606,0.029743059622123837,0.024927784798201173,0.023536285850568675,-0.039980823590885846,-0.16888643755577504,-0.001313155677053146,0.0033827376714907586,0.007742081548203714,-0.020910457852296532,-0.005521083659259602,0.013361132278805598,0.00444750290014781,-0.019828174846479668,0.0,0.0,0.033848278719815425,-0.05787200295017101,-0.025557533837854862,0.13739091246097815,0.08747966048889794,-0.012006879075197503,0.05056519744102843,0.055339363819221034,-0.035976250814273955,-0.40740778830193447,-0.0024234359146794305,-0.02076596410595812,-0.1087302837194875,-0.028562459568493067,-0.10693114723777399,-0.044765095037873834,0.006022573986556381,-0.0219742615474388,0.0
