threshold,f1_macro,f1_pos,f1_neg,precision,recall,tn,fp,fn,tp
0.3,0.5703532136653156,0.7770700636942676,0.36363636363636365,0.6455026455026455,0.976,20,67,3,122
0.31,0.5789655470166652,0.7795527156549521,0.3783783783783784,0.648936170212766,0.976,21,66,3,122
0.32,0.5789655470166652,0.7795527156549521,0.3783783783783784,0.648936170212766,0.976,21,66,3,122
0.33,0.5920769666100736,0.7806451612903226,0.40350877192982454,0.654054054054054,0.968,23,64,4,121
0.34,0.6083743842364532,0.7857142857142857,0.43103448275862066,0.6612021857923497,0.968,25,62,4,121
0.35000000000000003,0.6045546925025752,0.7817589576547231,0.42735042735042733,0.6593406593406593,0.96,25,62,5,120
0.36000000000000004,0.6086513293842126,0.780327868852459,0.4369747899159664,0.6611111111111111,0.952,26,61,6,119
0.37000000000000005,0.6164473684210526,0.7828947368421053,0.45,0.664804469273743,0.952,27,60,6,119
0.38000000000000006,0.6164473684210526,0.7828947368421053,0.45,0.664804469273743,0.952,27,60,6,119
0.39000000000000007,0.6277989357966669,0.7840531561461794,0.4715447154471545,0.6704545454545454,0.944,29,58,7,118
0.4000000000000001,0.64994140833067,0.7919463087248322,0.5079365079365079,0.6820809248554913,0.944,32,55,7,118
0.4100000000000001,0.6571489169914366,0.7946127946127947,0.5196850393700787,0.686046511627907,0.944,33,54,7,118
0.4200000000000001,0.6794053569140075,0.7958477508650519,0.562962962962963,0.7012195121951219,0.92,38,49,10,115
0.4300000000000001,0.6926676670312062,0.8013937282229965,0.583941605839416,0.7098765432098766,0.92,40,47,10,115
0.4400000000000001,0.6884564710651667,0.7972027972027972,0.5797101449275363,0.7080745341614907,0.912,40,47,11,114
0.4500000000000001,0.6971656266446131,0.7985865724381626,0.5957446808510638,0.7151898734177216,0.904,42,45,12,113
0.46000000000000013,0.6992758131548167,0.797153024911032,0.6013986013986014,0.717948717948718,0.896,43,44,13,112
0.47000000000000014,0.6992758131548167,0.797153024911032,0.6013986013986014,0.717948717948718,0.896,43,44,13,112
0.48000000000000015,0.6970533162511087,0.7913669064748201,0.6027397260273972,0.7189542483660131,0.88,44,43,15,110
0.49000000000000016,0.7032343623369925,0.7942238267148014,0.6122448979591837,0.7236842105263158,0.88,45,42,15,110
0.5000000000000002,0.7093615354484919,0.7971014492753623,0.6216216216216216,0.7284768211920529,0.88,46,41,15,110
0.5100000000000002,0.717148193969386,0.7985347985347986,0.6357615894039735,0.7364864864864865,0.872,48,39,16,109
0.5200000000000002,0.717148193969386,0.7985347985347986,0.6357615894039735,0.7364864864864865,0.872,48,39,16,109
0.5300000000000002,0.7276101646521367,0.7969924812030075,0.6582278481012658,0.75177304964539,0.848,52,35,19,106
0.5400000000000003,0.7289772727272728,0.7954545454545454,0.6625,0.7553956834532374,0.84,53,34,20,105
0.5500000000000003,0.7346432704343103,0.7984790874524715,0.6708074534161491,0.7608695652173914,0.84,54,33,20,105
0.5600000000000003,0.746998946998947,0.803088803088803,0.6909090909090909,0.7761194029850746,0.832,57,30,21,104
0.5700000000000003,0.7294349692539738,0.7843137254901961,0.6745562130177515,0.7692307692307693,0.8,57,30,25,100
0.5800000000000003,0.7226850258175559,0.7710843373493976,0.6742857142857143,0.7741935483870968,0.768,59,28,29,96
0.5900000000000003,0.728875491002101,0.7723577235772358,0.6853932584269663,0.7851239669421488,0.76,61,26,30,95
0.6000000000000003,0.7075200723736288,0.7447698744769874,0.6702702702702703,0.7807017543859649,0.712,62,25,36,89
0.6100000000000003,0.7094128485720064,0.7381974248927039,0.680628272251309,0.7962962962962963,0.688,65,22,39,86
0.6200000000000003,0.7198969880192587,0.74235807860262,0.6974358974358974,0.8173076923076923,0.68,68,19,40,85
0.6300000000000003,0.7066071428571428,0.7232142857142857,0.69,0.8181818181818182,0.648,69,18,44,81
0.6400000000000003,0.7071301247771835,0.7181818181818181,0.696078431372549,0.8315789473684211,0.632,71,16,46,79
0.6500000000000004,0.693334816957828,0.6976744186046512,0.6889952153110048,0.8333333333333334,0.6,72,15,50,75
0.6600000000000004,0.6933894043566295,0.6919431279620853,0.6948356807511737,0.8488372093023255,0.584,74,13,52,73
0.6700000000000004,0.6885683760683761,0.6826923076923077,0.6944444444444444,0.8554216867469879,0.568,75,12,54,71
0.6800000000000004,0.6741730704978283,0.6634146341463415,0.684931506849315,0.85,0.544,75,12,57,68
0.6900000000000004,0.673940663798676,0.6600985221674877,0.6877828054298643,0.8589743589743589,0.536,76,11,58,67
0.7000000000000004,0.6641902594650069,0.6467661691542289,0.6816143497757847,0.8552631578947368,0.52,76,11,60,65
